"","acc","acc.RC","comptimes"
"158",0.705316593151008,0.828956377478617,12.53
"159",0.734559462210837,0.780473799828016,11.98
"160",0.703015735279372,0.757108928881204,11.997
"161",0.742753969502337,0.826204688562468,11.887
"162",0.724378835955254,0.80318637591101,11.628
"163",0.724378672770926,0.835129745598528,12.27
"164",0.768717107446822,0.791583741953846,11.644
"165",0.722583867889221,0.778593587437902,10.846
"166",0.708051095655575,0.759466825704932,12.11
"167",0.686890075654172,0.708733632844569,11.8030000000001
"168",0.765343214589107,0.835930116427449,11.309
"169",0.737817823958319,0.789002775010322,15.442
"170",0.684511756027898,0.728370122309202,12.306
"171",0.742036659836873,0.823510489123938,11.889
"172",0.76397363841237,0.831652513396122,13.065
"173",0.677470887146707,0.764074760583335,11.663
"174",0.753993521901529,0.820291797980599,11.901
"175",0.675590955902402,0.786987238216158,12.149
"176",0.704817060666146,0.729073053556931,11.979
"177",0.805765809341248,0.86353139610794,11.475
"178",0.715451542400647,0.864258619530903,11.594
"179",0.717995662861203,0.774481106343763,11.878
"180",0.732863418188784,0.764798189443494,11.51
"181",0.718814748826731,0.783633985839721,11.089
"182",0.736483773306735,0.79107159487467,11.076
"183",0.68011140500951,0.833625091617833,14.922
"184",0.686351525842225,0.765936885617387,12.106
"185",0.65818517098262,0.705362851757875,11.616
"186",0.701070069840738,0.718663532619944,13.03
"187",0.764151958566039,0.872095535136322,11.883
"188",0.724196303487917,0.743888794941609,12.301
"189",0.740568435910981,0.73681532694271,12.133
"190",0.668933455284008,0.756494501497297,11.596
"191",0.732352675047439,0.770845753864846,11.621
"192",0.723776201238978,0.745193469575899,11.711
"193",0.77492108125439,0.875850067147142,11.407
"194",0.679936845433977,0.768505716587359,12.035
"195",0.719028250949745,0.829492729594121,11.919
"196",0.727416905996828,0.809130322716131,11.185
"197",0.739415875013136,0.819257059565033,16.962
"198",0.727689927851469,0.805293061945364,11.835
"199",0.701410208593532,0.750861163113622,11.681
"200",0.733946462870372,0.805230281961497,12.731
"201",0.709556727588748,0.760970511016488,12.2
"202",0.742695425534766,0.781150521294242,11.921
"203",0.741485755005943,0.825087070389175,11.626
"204",0.680009005723868,0.700059204003423,12.147
"205",0.685131875827616,0.836766843217596,11.718
"206",0.678937826153039,0.725225761173515,11.097
"207",0.675972583124775,0.757081804045855,11.406
"208",0.730628472299361,0.832635319671202,12.196
"209",0.732432193529899,0.745336680632624,11.1540000000001
"210",0.73948356432485,0.802727427005519,11.287
"211",0.695251653226903,0.791464088143728,16.058
"212",0.717147208148556,0.773246529232116,12.03
"213",0.757667450767199,0.808045289228018,11.978
"214",0.676651188268268,0.820816611531824,13.321
"215",0.776932357257139,0.830399048168814,12.508
"216",0.760339570391554,0.821004904327541,12.434
"217",0.669581290940008,0.710437834415813,11.559
"218",0.639387365854458,0.775591538357355,11.533
"219",0.720341008632337,0.783068732137195,11.517
"220",0.695665092586122,0.713700239414141,11.536
"221",0.676193290422977,0.781245764802583,11.067
"222",0.732957444952447,0.751501572604608,11.557
"223",0.76422586018465,0.812405272258805,11.082
"224",0.700459261256389,0.725826148854964,10.812
"225",0.755492460193895,0.785302701233392,16.283
"226",0.729155998248862,0.76928265589506,12.191
"227",0.711746800463715,0.744756900970339,11.971
"228",0.633113587219882,0.709918364723784,13.122
"229",0.736778479749017,0.811317768190912,12.091
"230",0.685039416704386,0.835351067172765,11.53
"231",0.684102405645047,0.741534865335908,11.958
"232",0.6929532566185,0.742473366945601,12.395
"233",0.759686894292357,0.881176345520881,12.035
