"","acc","acc.RC","penG","penE","subset","comptimes"
"25",0.397284363744367,0.43980180664243,0.00182630765052579,2.84390114722843e-07,"F2-F4-F5",1.74800000000002
"26",0.539022445589339,0.525268269548034,0.00216881113532493,6.47409586147421e-09,"F1-F3-F6",1.63
"27",0.469754619920211,0.551558092315543,0.00167708901061478,5.01958059975434e-07,"F2-F3-F4-F5-F6",2.09200000000001
"28",0.499168745456622,0.521084775923905,0.00150261517133251,2.62404444593483e-07,"F2-F3-F4-F5-F6",2.09100000000001
"29",0.494613352924378,0.541000222958807,0.00189357178459934,3.01461841434776e-07,"F4-F5-F6",1.74000000000001
"30",0.409941157163317,0.387666629233433,0.001794501068376,1.55825274635033e-07,"F2-F3-F4-F5-F6",2.11000000000001
"31",0.541469681256596,0.546493595308823,0.00176554491086516,4.49774626530458e-07,"F1-F3-F6",1.69
"32",0.523022560441121,0.474283429706601,0.00141300482214718,1.94988622932289e-07,"F2-F3-F5-F6",1.929
"33",0.485442565191718,0.452871649171451,0.00182011322488193,4.57556436451067e-07,"F1-F2-F3-F5-F6",2.15600000000001
"34",0.456331483428339,0.457101336996787,0.00184895318797123,6.43663007946313e-07,"F1-F2-F3-F4-F5",2.083
"35",0.551128135114567,0.601803882626706,0.00182495124592899,2.95278997381038e-07,"F3-F4-F5-F6",2.001
"36",0.594115784266781,0.497122602123927,0.00178594974767084,1.26884295226256e-07,"F3-F5-F6",1.76499999999999
"37",0.474846435937384,0.512488187660344,0.00140728127721954,2.86303524961894e-07,"F1-F3-F4-F5",1.88
"38",0.550462426768915,0.54033609718832,0.00157592705445252,6.38402880806734e-07,"F1-F3-F5-F6",1.87899999999996
"39",0.530351683258491,0.470533129243642,0.00145226711830697,1.72010981970932e-07,"F1-F2-F3-F4-F5-F6",2.44099999999997
"40",0.572802937908414,0.491316506011324,0.00189868299105319,7.38111057735363e-07,"F2-F3-F4-F5-F6",2.11400000000003
"41",0.548220695405368,0.52043368312649,0.00193086800457592,6.47409586147421e-09,"F1-F3-F4-F6",1.85199999999998
"42",0.492830974469056,0.459088856393068,0.00200464634243367,5.1708361018712e-07,"F1-F3-F4-F5-F6",2.197
"43",0.444959753140841,0.398197418448006,0.00201955163749326,1.1610872075719e-07,"F3-F5-F6",1.84100000000001
"44",0.61819938923758,0.545043961667148,0.00180303223744353,3.92148083660023e-07,"F2-F3-F4-F5-F6",2.18099999999998
"45",0.541948513682077,0.472171799196319,0.00184163696122723,1.49789086111455e-07,"F1-F2-F3-F5",1.87899999999996
"46",0.469381386852935,0.611338771102267,0.0017022213433593,4.35653662417003e-07,"F1-F3-F4-F5-F6",2.11500000000001
"47",0.498471718526627,0.516924646100121,0.00158633700665186,5.32523438115057e-07,"F1-F2-F3-F5-F6",2.24900000000002
"48",0.412825931174983,0.403795442501682,0.00148407304304166,2.17363968587731e-07,"F2-F3-F5-F6",1.99199999999996
"49",0.490279506319222,0.42012549405379,0.0014571486793365,2.62305957451213e-07,"F2-F3-F4-F6",1.904
"50",0.493170829139467,0.561264721093633,0.00170407837629331,7.01786665183577e-07,"F1-F3-F4-F5",2.08300000000003
"51",0.4871433077922,0.465708428508087,0.00168842363412431,3.99261656780936e-07,"F1-F2-F3-F5-F6",3.513
"52",0.471750595800568,0.488419760809412,0.00151639169074692,1.5098896805891e-07,"F1-F2-F4-F5-F6",1.961
"53",0.572503841129442,0.541370535337712,0.00157404234062982,1.16950184056259e-07,"F1-F3-F5-F6",1.607
"54",0.520372226756884,0.5274443175705,0.00174108402583924,1.74253652982973e-07,"F1-F2-F4-F5-F6",1.854
"55",0.444851791411475,0.3823839005966,0.00180820477018893,2.33033919295134e-07,"F2-F4-F5-F6",1.68
"56",0.462728614503872,0.496142349025123,0.00139132036143181,5.86034942721072e-07,"F2-F3-F4-F6",1.559
"57",0.439220926027471,0.390646148959565,0.00159739374550263,3.02761766872449e-07,"F3-F5-F6-F7",1.811
"58",0.471663504027336,0.532250762331136,0.00140440247229243,3.09326489353563e-07,"F3-F4-F5-F6",1.732
"59",0.387477698952884,0.399378149538131,0.00150087344863459,7.07847953720233e-07,"F1-F4-F5-F6",1.868
"60",0.445449423195542,0.471622642292741,0.00166091716853324,5.23366487144647e-07,"F1-F2-F3-F5",1.90700000000001
